id_open_close_main,day_open_close,open,close
oc_113,วันศุกร์,12.0,20.0
oc_113,วันเสาร์,12.0,19.0
oc_113,วันอาทิตย์,12.0,19.0
oc_113,วันจันทร์,12.0,20.0
oc_113,วันอังคาร,12.0,20.0
oc_113,วันพุธ,12.0,20.0
oc_113,วันพฤหัสบดี,12.0,20.0
oc_114,วันศุกร์,7.0,20.0
oc_114,วันเสาร์,7.0,20.0
oc_114,วันอาทิตย์,7.0,20.0
oc_114,วันจันทร์,7.0,20.0
oc_114,วันอังคาร,7.0,20.0
oc_114,วันพุธ,7.0,20.0
oc_114,วันพฤหัสบดี,7.0,20.0
oc_115,วันศุกร์,8.0,16.0
oc_115,วันเสาร์,9.0,16.0
oc_115,วันอาทิตย์,9.0,16.0
oc_115,วันจันทร์,8.0,16.0
oc_115,วันอังคาร,0.0,0.0
oc_115,วันพุธ,8.0,16.0
oc_115,วันพฤหัสบดี,8.0,16.0
oc_116,วันศุกร์,9.0,20.3
oc_116,วันเสาร์,9.0,20.3
oc_116,วันอาทิตย์,9.0,20.3
oc_116,วันจันทร์,9.3,20.0
oc_116,วันอังคาร,9.3,20.0
oc_116,วันพุธ,9.3,20.0
oc_116,วันพฤหัสบดี,9.3,20.0
oc_117,วันศุกร์,9.0,17.0
oc_117,วันเสาร์,9.0,18.0
oc_117,วันอาทิตย์,9.0,18.0
oc_117,วันจันทร์,0.0,0.0
oc_117,วันอังคาร,9.0,17.0
oc_117,วันพุธ,9.0,17.0
oc_117,วันพฤหัสบดี,9.0,17.0
,,,
oc_119,วันศุกร์,11.0,22.0
oc_119,วันเสาร์,11.0,22.0
oc_119,วันอาทิตย์,11.0,22.0
oc_119,วันจันทร์,11.0,21.0
oc_119,วันอังคาร,11.0,21.0
oc_119,วันพุธ,11.0,21.0
oc_119,วันพฤหัสบดี,11.0,21.0
oc_120,วันศุกร์,7.0,22.0
oc_120,วันเสาร์,7.0,22.0
oc_120,วันอาทิตย์,7.0,22.0
oc_120,วันจันทร์,7.0,22.0
oc_120,วันอังคาร,7.0,22.0
oc_120,วันพุธ,7.0,22.0
oc_120,วันพฤหัสบดี,7.0,22.0
oc_121,วันศุกร์,8.0,16.3
oc_121,วันเสาร์,8.0,16.3
oc_121,วันอาทิตย์,8.0,16.3
oc_121,วันจันทร์,8.0,16.3
oc_121,วันอังคาร,8.0,16.3
oc_121,วันพุธ,8.0,16.3
oc_121,วันพฤหัสบดี,8.0,16.3
oc_122,วันศุกร์,9.0,17.3
oc_122,วันเสาร์,9.0,17.3
oc_122,วันอาทิตย์,9.0,17.3
oc_122,วันจันทร์,9.0,17.3
oc_122,วันอังคาร,9.0,17.3
oc_122,วันพุธ,9.0,17.3
oc_122,วันพฤหัสบดี,9.0,17.3
oc_123,วันศุกร์,9.0,18.0
oc_123,วันเสาร์,9.0,18.0
oc_123,วันอาทิตย์,9.0,18.0
oc_123,วันจันทร์,0.0,0.0
oc_123,วันอังคาร,0.0,0.0
oc_123,วันพุธ,0.0,0.0
oc_123,วันพฤหัสบดี,0.0,0.0
oc_124,วันศุกร์,7.3,17.0
oc_124,วันเสาร์,7.3,17.0
oc_124,วันอาทิตย์,7.3,17.0
oc_124,วันจันทร์,7.3,17.0
oc_124,วันอังคาร,7.3,17.0
oc_124,วันพุธ,7.3,17.0
oc_124,วันพฤหัสบดี,7.3,17.0
oc_125,วันศุกร์,10.0,18.3
oc_125,วันเสาร์,10.0,18.3
oc_125,วันอาทิตย์,10.0,18.3
oc_125,วันจันทร์,10.0,18.3
oc_125,วันอังคาร,10.0,18.3
oc_125,วันพุธ,10.0,18.3
oc_125,วันพฤหัสบดี,10.0,18.3
oc_126,วันศุกร์,8.3,20.0
oc_126,วันเสาร์,8.3,20.0
oc_126,วันอาทิตย์,8.3,20.0
oc_126,วันจันทร์,8.3,20.0
oc_126,วันอังคาร,8.3,20.0
oc_126,วันพุธ,8.3,20.0
oc_126,วันพฤหัสบดี,8.3,20.0
oc_127,วันศุกร์,8.0,18.0
oc_127,วันเสาร์,8.0,18.0
oc_127,วันอาทิตย์,8.0,18.0
oc_127,วันจันทร์,8.0,18.0
oc_127,วันอังคาร,8.0,18.0
oc_127,วันพุธ,8.0,18.0
oc_127,วันพฤหัสบดี,8.0,18.0
oc_128,วันศุกร์,11.0,21.0
oc_128,วันเสาร์,11.0,21.0
oc_128,วันอาทิตย์,11.0,21.0
oc_128,วันจันทร์,11.0,21.0
oc_128,วันอังคาร,11.0,21.0
oc_128,วันพุธ,11.0,21.0
oc_128,วันพฤหัสบดี,11.0,21.0
oc_129,วันศุกร์,6.0,18.0
oc_129,วันเสาร์,6.0,18.0
oc_129,วันอาทิตย์,6.0,18.0
oc_129,วันจันทร์,6.0,18.0
oc_129,วันอังคาร,6.0,18.0
oc_129,วันพุธ,6.0,18.0
oc_129,วันพฤหัสบดี,6.0,18.0
oc_130,วันศุกร์,7.0,17.0
oc_130,วันเสาร์,8.0,18.0
oc_130,วันอาทิตย์,8.0,18.0
oc_130,วันจันทร์,7.0,17.0
oc_130,วันอังคาร,7.0,17.0
oc_130,วันพุธ,7.0,17.0
oc_130,วันพฤหัสบดี,7.0,17.0
oc_131,วันศุกร์,9.3,17.0
oc_131,วันเสาร์,9.3,17.0
oc_131,วันอาทิตย์,9.3,17.0
oc_131,วันจันทร์,9.3,17.0
oc_131,วันอังคาร,9.3,17.0
oc_131,วันพุธ,9.3,17.0
oc_131,วันพฤหัสบดี,9.3,17.0
oc_132,วันศุกร์,8.0,19.0
oc_132,วันเสาร์,8.0,17.0
