id_customer_main,customer,customer_day,time,percent
ci_1,โดยปกติแล้วเวลา 22:00 จะมีลูกค้าประมาณ 61% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์,22:00:00,61
ci_1,โดยปกติแล้วเวลา 23:00 จะมีลูกค้าประมาณ 61% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์,23:00:00,61
ci_1,โดยปกติแล้วเวลา 06:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,6:00:00,0
ci_1,โดยปกติแล้วเวลา 07:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,7:00:00,0
ci_1,โดยปกติแล้วเวลา 08:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,8:00:00,0
ci_1,โดยปกติแล้วเวลา 09:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,9:00:00,0
ci_1,โดยปกติแล้วเวลา 10:00 จะมีลูกค้าประมาณ 33% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,10:00:00,33
ci_1,โดยปกติแล้วเวลา 11:00 จะมีลูกค้าประมาณ 33% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,11:00:00,33
ci_1,โดยปกติแล้วเวลา 12:00 จะมีลูกค้าประมาณ 27% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,12:00:00,27
ci_1,โดยปกติแล้วเวลา 13:00 จะมีลูกค้าประมาณ 22% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,13:00:00,22
ci_1,โดยปกติแล้วเวลา 14:00 จะมีลูกค้าประมาณ 38% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,14:00:00,38
ci_1,โดยปกติแล้วเวลา 15:00 จะมีลูกค้าประมาณ 66% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,15:00:00,66
ci_1,โดยปกติแล้วเวลา 16:00 จะมีลูกค้าประมาณ 77% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,16:00:00,77
ci_1,โดยปกติแล้วเวลา 17:00 จะมีลูกค้าประมาณ 50% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,17:00:00,50
ci_1,โดยปกติแล้วเวลา 18:00 จะมีลูกค้าประมาณ 38% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,18:00:00,38
ci_1,โดยปกติแล้วเวลา 19:00 จะมีลูกค้าประมาณ 38% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,19:00:00,38
ci_1,โดยปกติแล้วเวลา 20:00 จะมีลูกค้าประมาณ 44% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,20:00:00,44
ci_1,โดยปกติแล้วเวลา 21:00 จะมีลูกค้าประมาณ 50% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,21:00:00,50
ci_1,โดยปกติแล้วเวลา 22:00 จะมีลูกค้าประมาณ 38% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,22:00:00,38
ci_1,โดยปกติแล้วเวลา 23:00 จะมีลูกค้าประมาณ 38% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,23:00:00,38
ci_1,โดยปกติแล้วเวลา 06:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันพุธ,6:00:00,0
ci_1,โดยปกติแล้วเวลา 07:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันพุธ,7:00:00,0
ci_1,โดยปกติแล้วเวลา 08:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันพุธ,8:00:00,0
