รายชื่อร้านที่ไม่ใช่ caf?
SIMPLE COFFEE เมืองเอก 
Mister Latte 
CoffeeFlavor
Number15 เมืองเอก(ม.รังสิต)
ร้านชานมไข่มุก_กาแฟสด B&C Coffee
Kojicha premium matcha สาขาธรรมศาสตร์รังสิต
เด็กชา คลองหนึ่ง
THE CAFE @INDEX LIVINGMALL (RANGSIT)
Shanny Cafe Crochet (เสิ้ชไม่เจอ)
ดอยมูเซอคอฟฟี่ @ตลาดรังสิต
NJ coffee มอรังสิต
Cafe Mikka มหาวิทยาลัยรังสิต
เพนกวิ้นมิลล์ที สาขา ม.รังสิต - Penguin Milk Tea RSU
ป้าจอยมอรังสิต
เลอมง ราเมง มหาวิทยาลัยรังสิต
OKC เมนูอกไก่@เมืองเอก ม.รังสิต
มุมเสบียง หน้า ม.รังสิต
Soup Panda หมาล่าทั่ง สาขา 2 หลังม.รังสิต
Beck's Cafe
ร้านกาแฟลิตเติ้ล คาเฟ่
Memory Coffee
Channel Weed Store Rangsit (RSU) | ร้านขายดอกไม้ ม.รังสิต เมืองเอก รังสิต ปทุม | Cannabis dispensary
ร้านอันธาม
ป้าติ๋มปั่น ม.รังสิต
JJ coffee &juice น้ำดื่ม
Kraft salad & pasta สาขาเมืองเอก
SaM SteakandMore
ร้านกับข้าวกับปลา
Cheese and Tomato - Italian Kitchen
oni milk & tea ม.รังสิต สาขา 1
ร้าน บังมูครัวมุสลิม ฮาลาล
ร้านอาหาร หัวหิน (เมืองเอก รังสิต)
หมูกระทะเมืองเอก ต้นตำรับ10ปี โดยคุณกอล์ฟ
โกโก้ในตำนาน - ธรรมศาสตร์แฟร์
เดอะดิเนอร์
AIT thai rice shop
Happy Minimal Coffee หมู่บ้านคลองหลวงเมืองใหม่
ยำยำคาเฟ่ สาขา ม.กรุงเทพ
Highground Cannabis Cafe | รังสิต ม.กรุงเทพ | Weed Store
วัวล้วนๆไม่มีควายผสม สาขา ม.กรุงเทพ รังสิตภิรมภ์
Bu Restaurant
HIPSTER STEAK สาขา ม.กรุงเทพ
Here Street Coffee Cart
MOM KITCHEN ม.กรุงเทพ รังสิต
C U TeeDerm Cafe
มหาวิทยาลัยกรุงเทพ รังสิต Tourism Tower อาคาร A5
ตำปากเปิด ม.กรุงเทพรังสิต
Jarome' - จาโรเม่
สุกี้ตี๋น้อย Mingle Mall รังสิต
จามุคาเฟ่
chatramue (ชาตรามือ) ชั้น 2 Future Park Rangsit
มินิ คาเฟ่
736Coffee
Chao Doi Coffee Tops Rangsit
เตี๋ยวไก่คาเฟ่
Snap box
เต่าบิน TAO BIN • ลุมพินี รังสิต อาคาร A2


























































































