name,lat,long,url,rating,comment,sal1,sal2,id_open_close_main,id_customer_main,id_option_main,id_review_main,zone
Cafe’ Amazon RM2076,13.9924622,100.6482196,"https://www.google.com/maps/place/Cafe%E2%80%99+Amazon+RM2076/@13.988189,100.6107046,14z/data=!4m10!1m2!2m1!1z4LmA4LiX4Lio4Lia4Liy4Lil4LiZ4LiE4Lij4Lij4Lix4LiH4Liq4Li04LiVIEFtYXpvbg!3m6!1s0x311d7e45f9244af5:0x1a7f9d55f416efca!8m2!3d13.9924622!4d100.6482196!15sCjTguYDguJfguKjguJrguLLguKXguJnguITguKPguKPguLHguIfguKrguLTguJUgQW1hem9uIgOIAQFaOCI24LmA4LiX4Lio4Lia4Liy4LilIOC4meC4hOC4oyDguKPguLHguIfguKrguLTguJUgYW1hem9ukgEEY2FmZaoBhAEKDS9nLzExYnlkMHBjcWgKCC9tLzBtZ2tnEAEqCiIGYW1hem9uKDUyHxABIhso5LyXIgQvuzLeKOtypH-KX-NDjBf2SaAmFOkyOhACIjbguYDguJfguKjguJrguLLguKUg4LiZ4LiE4LijIOC4o-C4seC4h-C4quC4tOC4lSBhbWF6b27gAQA!16s%2Fg%2F11c2y9nn27?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",4.2,-115,฿1-100 ต่อคน,รายงานโดยผู้ใช้ 7 ราย,oc_500,ci_500,option_500,review_500,rungsit
ร้านกาแฟ อเมซอน,13.9893835,100.6344337,"https://www.google.com/maps/place/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F+%E0%B8%AD%E0%B9%80%E0%B8%A1%E0%B8%8B%E0%B8%AD%E0%B8%99/@13.988189,100.6107046,14z/data=!4m10!1m2!2m1!1z4LmA4LiX4Lio4Lia4Liy4Lil4LiZ4LiE4Lij4Lij4Lix4LiH4Liq4Li04LiVIEFtYXpvbg!3m6!1s0x311d7fc1bb1bee0d:0x5f216ed4be5eff69!8m2!3d13.9893835!4d100.6344337!15sCjTguYDguJfguKjguJrguLLguKXguJnguITguKPguKPguLHguIfguKrguLTguJUgQW1hem9uIgOIAQFaOCI24LmA4LiX4Lio4Lia4Liy4LilIOC4meC4hOC4oyDguKPguLHguIfguKrguLTguJUgYW1hem9ukgEEY2FmZaoBhAEKDS9nLzExYnlkMHBjcWgKCC9tLzBtZ2tnEAEqCiIGYW1hem9uKDUyHxABIhso5LyXIgQvuzLeKOtypH-KX-NDjBf2SaAmFOkyOhACIjbguYDguJfguKjguJrguLLguKUg4LiZ4LiE4LijIOC4o-C4seC4h-C4quC4tOC4lSBhbWF6b27gAQA!16s%2Fg%2F11g65gq991?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",4.4,-103,฿1-100 ต่อคน,รายงานโดยผู้ใช้ 7 ราย,oc_501,ci_501,option_501,review_501,rungsit
Café Amazon สาขา โครงการรังสิตสเตชั่น (สำนักงานใหญ่) (SD4278),14.0075633,100.6148308,"https://www.google.com/maps/place/Caf%C3%A9+Amazon+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2+%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95%E0%B8%AA%E0%B9%80%E0%B8%95%E0%B8%8A%E0%B8%B1%E0%B9%88%E0%B8%99+(%E0%B8%AA%E0%B8%B3%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88)+(SD4278)/@13.988189,100.6107046,14z/data=!4m10!1m2!2m1!1z4LmA4LiX4Lio4Lia4Liy4Lil4LiZ4LiE4Lij4Lij4Lix4LiH4Liq4Li04LiVIEFtYXpvbg!3m6!1s0x30e2811dcb59b635:0x81802ed557c84083!8m2!3d14.0075633!4d100.6148308!15sCjTguYDguJfguKjguJrguLLguKXguJnguITguKPguKPguLHguIfguKrguLTguJUgQW1hem9uIgOIAQFaOCI24LmA4LiX4Lio4Lia4Liy4LilIOC4meC4hOC4oyDguKPguLHguIfguKrguLTguJUgYW1hem9ukgELY29mZmVlX3Nob3CqAYQBCg0vZy8xMWJ5ZDBwY3FoCggvbS8wbWdrZxABKgoiBmFtYXpvbig1Mh8QASIbKOS8lyIEL7sy3ijrcqR_il_jQ4wX9kmgJhTpMjoQAiI24LmA4LiX4Lio4Lia4Liy4LilIOC4meC4hOC4oyDguKPguLHguIfguKrguLTguJUgYW1hem9u4AEA!16s%2Fg%2F11rvbghnz_?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",3.5,-13,฿100-200 ต่อคน,รายงานโดยผู้ใช้ 5 ราย,oc_502,ci_502,option_502,review_502,rungsit
CAFÉ AMAZON รังสิต 200 ปี ซอย 4,13.98906,100.6062081,"https://www.google.com/maps/place/CAF%C3%89+AMAZON+%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95+200+%E0%B8%9B%E0%B8%B5+%E0%B8%8B%E0%B8%AD%E0%B8%A2+4/@13.988189,100.6107046,14z/data=!4m10!1m2!2m1!1z4LmA4LiX4Lio4Lia4Liy4Lil4LiZ4LiE4Lij4Lij4Lix4LiH4Liq4Li04LiVIEFtYXpvbg!3m6!1s0x30e281ee2adf29ed:0xd5106e270bc93952!8m2!3d13.98906!4d100.6062081!15sCjTguYDguJfguKjguJrguLLguKXguJnguITguKPguKPguLHguIfguKrguLTguJUgQW1hem9uIgOIAQFaOCI24LmA4LiX4Lio4Lia4Liy4LilIOC4meC4hOC4oyDguKPguLHguIfguKrguLTguJUgYW1hem9ukgELY29mZmVlX3Nob3CqAYQBCg0vZy8xMWJ5ZDBwY3FoCggvbS8wbWdrZxABKgoiBmFtYXpvbig1Mh8QASIbKOS8lyIEL7sy3ijrcqR_il_jQ4wX9kmgJhTpMjoQAiI24LmA4LiX4Lio4Lia4Liy4LilIOC4meC4hOC4oyDguKPguLHguIfguKrguLTguJUgYW1hem9u4AEA!16s%2Fg%2F11ssqmsh8t?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",4.3,-12,฿1-100 ต่อคน,รายงานโดยผู้ใช้ 5 ราย,oc_503,ci_503,option_503,review_503,rungsit
Café Amazon สาขาม.รังสิต,13.970512,100.6308605,"https://www.google.com/maps/place/Caf%C3%A9+Amazon+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%A1.%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95/@13.988189,100.6107046,14z/data=!4m10!1m2!2m1!1z4LmA4LiX4Lio4Lia4Liy4Lil4LiZ4LiE4Lij4Lij4Lix4LiH4Liq4Li04LiVIEFtYXpvbg!3m6!1s0x311d7fbfd5365e97:0xd76caabe91a8d649!8m2!3d13.970512!4d100.6308605!15sCjTguYDguJfguKjguJrguLLguKXguJnguITguKPguKPguLHguIfguKrguLTguJUgQW1hem9uIgOIAQFaOCI24LmA4LiX4Lio4Lia4Liy4LilIOC4meC4hOC4oyDguKPguLHguIfguKrguLTguJUgYW1hem9ukgELY29mZmVlX3Nob3CqAYQBCg0vZy8xMWJ5ZDBwY3FoCggvbS8wbWdrZxABKgoiBmFtYXpvbig1Mh8QASIbKOS8lyIEL7sy3ijrcqR_il_jQ4wX9kmgJhTpMjoQAiI24LmA4LiX4Lio4Lia4Liy4LilIOC4meC4hOC4oyDguKPguLHguIfguKrguLTguJUgYW1hem9u4AEA!16s%2Fg%2F11frnvpx38?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",3.5,-6,,,oc_504,ci_504,option_504,review_504,rungsit
Café Amazon สาขา HomePro ฟิวเจอร์ปาร์ค รังสิต (SD4344),13.9939544,100.6153042,"https://www.google.com/maps/place/Caf%C3%A9+Amazon+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2+HomePro+%E0%B8%9F%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%88%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%9B%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%84+%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95+(SD4344)/@13.988189,100.6107046,14z/data=!4m10!1m2!2m1!1z4LmA4LiX4Lio4Lia4Liy4Lil4LiZ4LiE4Lij4Lij4Lix4LiH4Liq4Li04LiVIEFtYXpvbg!3m6!1s0x30e2814488e99bbd:0x12bbf54f8fd5946!8m2!3d13.9939544!4d100.6153042!15sCjTguYDguJfguKjguJrguLLguKXguJnguITguKPguKPguLHguIfguKrguLTguJUgQW1hem9uIgOIAQFaOCI24LmA4LiX4Lio4Lia4Liy4LilIOC4meC4hOC4oyDguKPguLHguIfguKrguLTguJUgYW1hem9ukgEEY2FmZaoBhAEKDS9nLzExYnlkMHBjcWgKCC9tLzBtZ2tnEAEqCiIGYW1hem9uKDUyHxABIhso5LyXIgQvuzLeKOtypH-KX-NDjBf2SaAmFOkyOhACIjbguYDguJfguKjguJrguLLguKUg4LiZ4LiE4LijIOC4o-C4seC4h-C4quC4tOC4lSBhbWF6b27gAQA!16s%2Fg%2F11svt_1n6w?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",3,-3,,,oc_505,ci_505,option_505,review_505,rungsit
Café Amazon สาขา หมู่บ้านรัตนโกสินทร์ 200 ปี (SD3234),13.9878005,100.6098586,"https://www.google.com/maps/place/Caf%C3%A9+Amazon+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2+%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%88%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B9%82%E0%B8%81%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C+200+%E0%B8%9B%E0%B8%B5+(SD3234)/@13.988189,100.6107046,14z/data=!4m10!1m2!2m1!1z4LmA4LiX4Lio4Lia4Liy4Lil4LiZ4LiE4Lij4Lij4Lix4LiH4Liq4Li04LiVIEFtYXpvbg!3m6!1s0x30e281f9025dd72d:0xb382974b88bd8750!8m2!3d13.9878005!4d100.6098586!15sCjTguYDguJfguKjguJrguLLguKXguJnguITguKPguKPguLHguIfguKrguLTguJUgQW1hem9uIgOIAQFaOCI24LmA4LiX4Lio4Lia4Liy4LilIOC4meC4hOC4oyDguKPguLHguIfguKrguLTguJUgYW1hem9ukgEEY2FmZaoBhAEKDS9nLzExYnlkMHBjcWgKCC9tLzBtZ2tnEAEqCiIGYW1hem9uKDUyHxABIhso5LyXIgQvuzLeKOtypH-KX-NDjBf2SaAmFOkyOhACIjbguYDguJfguKjguJrguLLguKUg4LiZ4LiE4LijIOC4o-C4seC4h-C4quC4tOC4lSBhbWF6b27gAQA!16s%2Fg%2F11ss5phvjt?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",4.2,-9,฿1-100 ต่อคน,รายงานโดยผู้ใช้ 4 ราย,oc_506,ci_506,option_506,review_506,rungsit
คาเฟ่ อเมซอน สน.PTTRM สาขา บางพูน 1,13.9851766,100.5981675,"https://www.google.com/maps/place/%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88+%E0%B8%AD%E0%B9%80%E0%B8%A1%E0%B8%8B%E0%B8%AD%E0%B8%99+%E0%B8%AA%E0%B8%99.PTTRM+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2+%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%9E%E0%B8%B9%E0%B8%99+1/@13.988189,100.6107046,14z/data=!4m10!1m2!2m1!1z4LmA4LiX4Lio4Lia4Liy4Lil4LiZ4LiE4Lij4Lij4Lix4LiH4Liq4Li04LiVIEFtYXpvbg!3m6!1s0x30e281c06d80ab67:0xc5859d4ee35e74ea!8m2!3d13.9851766!4d100.5981675!15sCjTguYDguJfguKjguJrguLLguKXguJnguITguKPguKPguLHguIfguKrguLTguJUgQW1hem9uIgOIAQFaOCI24LmA4LiX4Lio4Lia4Liy4LilIOC4meC4hOC4oyDguKPguLHguIfguKrguLTguJUgYW1hem9ukgEEY2FmZaoBhAEKDS9nLzExYnlkMHBjcWgKCC9tLzBtZ2tnEAEqCiIGYW1hem9uKDUyHxABIhso5LyXIgQvuzLeKOtypH-KX-NDjBf2SaAmFOkyOhACIjbguYDguJfguKjguJrguLLguKUg4LiZ4LiE4LijIOC4o-C4seC4h-C4quC4tOC4lSBhbWF6b27gAQA!16s%2Fg%2F11c5zpmb6n?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",4.6,-5,,,oc_507,ci_507,option_507,review_507,rungsit
