id_customer_main,customer,customer_day,time,percent
ci_600,ปัจจุบันมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด โดยปกติแล้วจะมีลูกค้าประมาณ 31%,วันจันทร์,,
ci_600,โดยปกติแล้วเวลา 17:00 จะมีลูกค้าประมาณ 28% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์,17:00:00,28.0
ci_600,โดยปกติแล้วเวลา 18:00 จะมีลูกค้าประมาณ 22% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์,18:00:00,22.0
ci_600,โดยปกติแล้วเวลา 19:00 จะมีลูกค้าประมาณ 17% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์,19:00:00,17.0
ci_600,โดยปกติแล้วเวลา 20:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์,20:00:00,0.0
ci_600,โดยปกติแล้วเวลา 21:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์,21:00:00,0.0
ci_600,โดยปกติแล้วเวลา 22:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์,22:00:00,0.0
ci_600,โดยปกติแล้วเวลา 05:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,05:00:00,0.0
ci_600,โดยปกติแล้วเวลา 06:00 จะมีลูกค้าประมาณ 32% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,06:00:00,32.0
ci_600,โดยปกติแล้วเวลา 07:00 จะมีลูกค้าประมาณ 59% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,07:00:00,59.0
ci_600,โดยปกติแล้วเวลา 08:00 จะมีลูกค้าประมาณ 76% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,08:00:00,76.0
ci_600,โดยปกติแล้วเวลา 09:00 จะมีลูกค้าประมาณ 76% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,09:00:00,76.0
ci_600,โดยปกติแล้วเวลา 10:00 จะมีลูกค้าประมาณ 69% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,10:00:00,69.0
ci_600,โดยปกติแล้วเวลา 11:00 จะมีลูกค้าประมาณ 70% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,11:00:00,70.0
ci_600,โดยปกติแล้วเวลา 12:00 จะมีลูกค้าประมาณ 68% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,12:00:00,68.0
ci_600,โดยปกติแล้วเวลา 13:00 จะมีลูกค้าประมาณ 57% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,13:00:00,57.0
ci_600,โดยปกติแล้วเวลา 14:00 จะมีลูกค้าประมาณ 55% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร,14:00:00,55.0
