id_review_main,review_rating,review_text,sentiment
review_800,3,ปรับปรุงค่ะ กาแฟที่นี่จางมาก ล่าสุดสั่งชาเขียวน้ำผึ้งเจลลี่ ได้มาเป็นน้ำผึ้งมะนาวเจลลี่ ไม่กลิ่นรสชาติของชาเขียวเลย  สั่งหวานปกติไม่มีหวานมรแต่เปรี้ยว,neg
review_800,5,ร้านเปิดใหม่ อยู่ซ.คลองหลวง17 สถานที่สะอาด สบายตา บรรยากาศน่านั่งสุดยอด ลำขนาด ออกกำลังกายเสร็จมานั่งจิบกาแฟกันได้นะครับ,pos
review_800,5,คาเฟ่ อเมซอน เปิดสาขาใหม่ ในซอยคลองหลวง17 ใกล้บ้านเลย ตกแต่งภายในร้านดูดี ภายนอกสวยงาม น่านั่ง,pos
review_800,5,บริเวณโดยรอบร้านสวยดี ร้านกาแฟดูโดดเด่น            ยังคงรักษาธรรมชาติ ชอบร้านอเมซอลร้านนี้ครับ ✌️✌️,pos
review_800,4,สาขาใหม่ สวยงาม โปร่ง โล่ง สบาย...,pos
review_800,5,น้องบริการดีมากครับ มีที่จอดรถสบายๆครับ,pos
review_800,4,มาตรฐานอเมซอนครับ,neu
review_800,5,เปิดใหม่ บริการดีคะ สวยงาม สะอาด รอบๆทางเข้าสะบายตา..,pos
review_800,5,พนักงานสุภาพ บริการดีครับ,pos
review_800,3,Cafe Amazon ESC PARK ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 5ธ.ค.64,neu
review_800,5,ร้านบรรยากาศดี ไม่แออัด,pos
review_800,5,Ok ดีครับ,neu
review_800,4,ดี,neu
review_800,5,ชอบที่สุด,pos
review_800,5,แซ่บ!!😸💯,neu
review_800,5,ขอบคุณค่ะ,pos
review_800,5,ขอบคุณที่ประทับใจสาขา ขอบคุณค่ะ,pos
review_800,4,ขอบคุณค่ะ,pos
review_800,5,ขอบคุณค่ะ,pos
review_800,5,ขอบคุณค่ะ,pos
review_800,3,ขอบคุณค่ะ,pos
review_800,5,ขอบคุณค่ะ,pos
review_800,4,ขอบคุณค่ะ,pos
review_800,4,ขอบคุณค่ะ,pos
review_800,5,ขอบคุณค่ะ,pos
review_800,4,ขอบคุณค่ะ,pos
review_800,5,ขอบคุณค่ะ🥰 …,pos
review_800,5,🤗 …,neu
review_800,5,ขอบคุณค่ะ😊 …,pos
review_800,5,ขอบคุณค่ะ,pos
review_801,1,พนักงาน บริการบางคน พูดไม่ค่อยน่ารัก(และไม่ได้เป็นแค่ครั้งเดียว) อยากให้ปรับปรุงเรื่องคำพูดเวลารับออเดอร์ ลูกค้า แล้วถุงอเมซอน ควรเป็นถุงที่น่าจะดีกว่านี้ไหมคะ กับราคาแก้วละ 50-60 บาท,neg
review_801,3,9/11/2024. รวมเวลา  เวลาประมาณ 9 โมง 40   เป็นพนักงานผู้ชายรับออเดอร์  พูดจาไม่มีหางเสียงเลย   เอาอะไร มีบลูการ์ดไหม   ักบริบทการให้บริการเหมือนไม่เต็มใจให้บริการ อยากให้ปรับปรุงตรงนี้ ส่วนท่านอื่นพูดจาดี,neg
review_801,1,"พนักงานไม่ตั้งใจทำงานรับออเดอร์แล้ว ยืนคุยกันเสียงดังอยู่ประมาณ 5 นาทีได้  (พนักงานรับออเดอร์หน้าไม่ต้อนรับลูกค้า)
วันที่ 11 เมษา 67 เวลา 14.45",neg
review_801,3,"ทุกอย่างโอเคหมดครับ แต่อยากให้มีห้องน้ำเพิ่มไว้บริการลูกค้าหน่อยครับ ขอเข้าห้องน้ำกับ พนง แต่ได้คำตอบว่า“ไม่มีห้องน้ำ”
เป็นไปได้หรอครับตึกทั้งตึกไม่มีห้องน้ำ",neg
review_801,5,บริการดีมาก พนักงานน่ารัก แนะนำเมนูอร่อยๆ ให้เรา ☕️,pos
review_801,3,น่าจะแพ็คน้ำเดลิเวอรี่ให้แน่นหนาหน่อยครับ สก็อตเทปแปะให้ก็ยังดี,neg
review_801,5,พนักงานน่ารักมากครับ พูดดีบริการดีมากๆ เป็นกันเอง ชอบบบบบ,pos
review_801,4,บริการดี,pos
review_801,5,บริการดีมาก,pos
