id_customer_main,customer,customer_day
ci_53,โดยปกติแล้วเวลา 08:00 จะมีลูกค้าประมาณ 25% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร
ci_53,โดยปกติแล้วเวลา 09:00 จะมีลูกค้าประมาณ 29% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร
ci_53,โดยปกติแล้วเวลา 10:00 จะมีลูกค้าประมาณ 36% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร
ci_53,โดยปกติแล้วเวลา 11:00 จะมีลูกค้าประมาณ 46% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร
ci_53,โดยปกติแล้วเวลา 12:00 จะมีลูกค้าประมาณ 59% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร
ci_53,โดยปกติแล้วเวลา 13:00 จะมีลูกค้าประมาณ 60% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร
ci_53,โดยปกติแล้วเวลา 14:00 จะมีลูกค้าประมาณ 54% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร
ci_53,โดยปกติแล้วเวลา 15:00 จะมีลูกค้าประมาณ 47% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร
ci_53,โดยปกติแล้วเวลา 16:00 จะมีลูกค้าประมาณ 45% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร
ci_53,โดยปกติแล้วเวลา 17:00 จะมีลูกค้าประมาณ 40% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร
ci_53,โดยปกติแล้วเวลา 18:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร
ci_53,โดยปกติแล้วเวลา 19:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร
ci_53,โดยปกติแล้วเวลา 20:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร
ci_53,โดยปกติแล้วเวลา 21:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร
ci_53,โดยปกติแล้วเวลา 22:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร
ci_53,โดยปกติแล้วเวลา 23:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอังคาร
ci_53,โดยปกติแล้วเวลา 06:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันพุธ
ci_53,โดยปกติแล้วเวลา 07:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันพุธ
ci_53,โดยปกติแล้วเวลา 08:00 จะมีลูกค้าประมาณ 21% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันพุธ
ci_53,โดยปกติแล้วเวลา 09:00 จะมีลูกค้าประมาณ 28% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันพุธ
