id_open_close_main,day_open_close,open,close
oc_189,วันเสาร์,9.3,18
oc_189,วันอาทิตย์,0,0
oc_189,วันจันทร์,8.15,18
oc_189,วันอังคาร,8.15,18
oc_189,วันพุธ,8.15,18
oc_189,วันพฤหัสบดี,8.15,18
oc_189,วันศุกร์,8.15,18
oc_190,วันเสาร์,9,23
oc_190,วันอาทิตย์,9,23
oc_190,วันจันทร์,9,23
oc_190,วันอังคาร,9,23
oc_190,วันพุธ,9,23
oc_190,วันพฤหัสบดี,9,23
oc_190,วันศุกร์,9,23
oc_191,วันเสาร์,0,0
oc_191,วันอาทิตย์,0,0
oc_191,วันจันทร์,9,18
oc_191,วันอังคาร,9,18
oc_191,วันพุธ,9,18
oc_191,วันพฤหัสบดี,9,18
oc_191,วันศุกร์,9,18
oc_192,วันเสาร์,0,0
oc_192,วันอาทิตย์,0,0
oc_192,วันจันทร์,7,13.45
oc_192,วันอังคาร,7,13.45
oc_192,วันพุธ,7,13.45
oc_192,วันพฤหัสบดี,7,13.45
oc_192,วันศุกร์,7,13.45
oc_193,วันเสาร์,7,17.3
oc_193,วันอาทิตย์,7,17.3
oc_193,วันจันทร์,7,17.3
oc_193,วันอังคาร,7,17.3
oc_193,วันพุธ,7,17.3
oc_193,วันพฤหัสบดี,7,17.3
oc_193,วันศุกร์,7,17.3
oc_194,วันเสาร์,8,21
oc_194,วันอาทิตย์,8,21
oc_194,วันจันทร์,8,21
oc_194,วันอังคาร,8,21
oc_194,วันพุธ,8,21
oc_194,วันพฤหัสบดี,8,21
oc_194,วันศุกร์,8,21
