name,lat,long,url,rating,comment,sal1,sal2,id_open_close_main,id_customer_main,id_option_main,id_review_main,zone,distance_rangsit,distance_khlong_rangsit,distance_lak_hok,distance_rmutt,distance_nbu,distance_bu,distance_tu,distance_rsu,weighted_rating
Theme Cafe & Bistro,13.9619105,100.6054672,"https://www.google.com/maps/place/Theme+Cafe+%26+Bistro/@13.9623912,100.5831245,14z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e2813cdc85159d:0x3e9bdceaed534ca5!8m2!3d13.9619105!4d100.6054672!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgEEY2FmZeABAA!16s%2Fg%2F11jyz__7_s?entry=ttu&g_ep=EgoyMDI1MDQxMy4wIKXMDSoASAFQAw%3D%3D",4.4,69,,,oc_1,ci_1,option_1,review_1,rakhok,3.366391827,2.276053807,1.470298802,1.554408341,8.126251492,8.664852357,12.27140163,2.506534042,4.434105312
Shelter specialty coffee,13.9625357,100.5852678,"https://www.google.com/maps/place/Shelter+specialty+coffee/@13.9623912,100.5831245,14z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e28358d706cf45:0x47f96354ac8a4d71!8m2!3d13.9625357!4d100.5852678!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11t3czph6x?entry=ttu&g_ep=EgoyMDI1MDQxMy4wIKXMDSoASAFQAw%3D%3D",4.8,147,฿100-200 ต่อคน,78,oc_2,ci_2,option_2,review_2,rakhok,3.272302652,2.506605327,0.863776028,3.294261683,10.05834154,9.059682308,12.39804789,0.562181706,4.751279242
ภูมิใจเสนอ Poomjai Saner café & coworking space,13.965177,100.5997985,"https://www.google.com/maps/place/%E0%B8%A0%E0%B8%B9%E0%B8%A1%E0%B8%B4%E0%B9%83%E0%B8%88%E0%B9%80%E0%B8%AA%E0%B8%99%E0%B8%AD+Poomjai+Saner+caf%C3%A9+%26+coworking+space/@13.9623912,100.5831245,14z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e281ea1de92c87:0x10318a68fd903e66!8m2!3d13.965177!4d100.5997985!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgEEY2FmZeABAA!16s%2Fg%2F11k14xrpnp?entry=ttu&g_ep=EgoyMDI1MDQxMy4wIKXMDSoASAFQAw%3D%3D",4.7,98,฿100-200 ต่อคน,30,oc_3,ci_3,option_3,review_3,rakhok,2.85477257,1.785755387,0.793976668,1.75402954,8.505517731,8.383540832,11.9247801,1.841160389,4.656065827
ใบแมว คาเฟ่แมว รังสิต,13.9630645,100.5879326,"https://www.google.com/maps/place/%E0%B9%83%E0%B8%9A%E0%B9%81%E0%B8%A1%E0%B8%A7+%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88%E0%B9%81%E0%B8%A1%E0%B8%A7+%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95/@13.9623912,100.5831245,14z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e281e36d359d97:0x373339c6b1a0ff94!8m2!3d13.9630645!4d100.5879326!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgEEY2FmZeABAA!16s%2Fg%2F11stnyzyp3?entry=ttu&g_ep=EgoyMDI1MDQxMy4wIKXMDSoASAFQAw%3D%3D",4.4,48,฿100-200 ต่อคน,21,oc_4,ci_4,option_4,review_4,rakhok,3.13491087,2.305347387,0.583633976,3.005611797,9.770605371,8.913468925,12.29225916,0.7030623,4.443287511
Mori Cat Cafe’,13.9652714,100.5894268,"https://www.google.com/maps/place/Mori+Cat+Cafe%E2%80%99/@13.9623912,100.5831245,14z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e281f3d6581a65:0x6930213804142078!8m2!3d13.9652714!4d100.5894268!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgEEY2FmZeABAA!16s%2Fg%2F11tsgdl4w0?entry=ttu&g_ep=EgoyMDI1MDQxMy4wIKXMDSoASAFQAw%3D%3D",4.9,124,฿100-200 ต่อคน,40,oc_5,ci_5,option_5,review_5,rakhok,2.859427237,2.012611823,0.336883319,2.767693733,9.527386194,8.631304867,12.02541124,0.736471888,4.824522246
SOMDUL COFFEE BAR,13.9636853,100.5913606,"https://www.google.com/maps/place/SOMDUL+COFFEE+BAR/@13.9623912,100.5831245,14z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e281a6315bda2d:0xd8c74dee1600dda3!8m2!3d13.9636853!4d100.5913606!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11x5p8ns31?entry=ttu&g_ep=EgoyMDI1MDQxMy4wIKXMDSoASAFQAw%3D%3D",5,1,,,,ci_6,option_6,review_6,rakhok,2.997975443,2.085149268,0.274984301,2.638570968,9.403630878,8.742660358,12.17178979,0.99086256,4.528271802
COK Cream of The Koff,13.9642185,100.5919473,"https://www.google.com/maps/place/COK+Cream+of+The+Koff/@13.9623912,100.5831245,14z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e2813d4cbaeaa3:0xae405fe07561ab30!8m2!3d13.9642185!4d100.5919473!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11h126ctzy?entry=ttu&g_ep=EgoyMDI1MDQxMy4wIKXMDSoASAFQAw%3D%3D",4.5,172,฿100-200 ต่อคน,48,oc_7,ci_7,option_7,review_7,rakhok,2.93148933,2.00736101,0.196362007,2.556686763,9.321923103,8.668860165,12.10509717,1.030487774,4.501863494
SIMPLE COFFEE เมืองเอก,13.9648527,100.5938843,"https://www.google.com/maps/place/SIMPLE+COFFEE+%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%AD%E0%B8%81/@13.9623912,100.5831245,14z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e281211cf784c9:0xf6771246ca02469!8m2!3d13.9648527!4d100.5938843!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11j8_dp30b?entry=ttu&g_ep=EgoyMDI1MDQxMy4wIKXMDSoASAFQAw%3D%3D",4.5,21,฿1-100 ต่อคน,5,oc_8,ci_8,option_8,review_8,rakhok,2.845209808,1.877270111,0.191678451,2.336974815,9.102114203,8.548513009,12.01126535,1.215554665,4.507380899
Beproud cafe,13.9648691,100.5962199,"https://www.google.com/maps/place/Beproud+cafe/@13.9623912,100.5831245,14z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e2837448852cbf:0xf6a2ece3c2380eb4!8m2!3d13.9648691!4d100.5962199!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11k9nwr93g?entry=ttu&g_ep=EgoyMDI1MDQxMy4wIKXMDSoASAFQAw%3D%3D",4.9,20,฿100-200 ต่อคน,8,oc_9,ci_9,option_9,review_9,rakhok,2.844208193,1.827293489,0.419836342,2.108418463,8.870879456,8.4901306,11.9854836,1.463178034,4.667528517
ฤดูกาล Cafe & Restaurant,13.9745882,100.5863363,"https://www.google.com/maps/place/%E0%B8%A4%E0%B8%94%E0%B8%B9%E0%B8%81%E0%B8%B2%E0%B8%A5+Cafe+%26+Restaurant/@13.9623912,100.5831245,14z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e281e34811fa13:0x1545cdc892b62e91!8m2!3d13.9745882!4d100.5863363!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11tg04_gqn?entry=ttu&g_ep=EgoyMDI1MDQxMy4wIKXMDSoASAFQAw%3D%3D",4.5,499,,,oc_10,ci_10,option_10,review_10,rakhok,1.991396323,1.487383067,1.170953023,2.952206179,9.508200097,7.762752465,11.05933496,0.92326551,4.50071158
