name,lat,long,url,rating,comment,sal1,sal2,id_open_close_main,id_customer_main,id_option_main,id_review_main,zone,distance_rangsit,distance_khlong_rangsit,distance_lak_hok,weighted_rating,distance_tu,distance_bu,distance_rsu,distance_rmutt,distance_nbu
1996 Coffee ม.รังสิต,13.963177,100.5878745,"https://www.google.com/maps/place/1996+Coffee+%E0%B8%A1.%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95/@13.9645952,100.590215,18z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e2815e53cdd2fb:0x3bf7faefaabfb03!8m2!3d13.963177!4d100.5878745!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11qnjhq50_?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",1,1,,,,ci_14,option_14,review_14,rakhok,3.124304554,2.297502098,0.582295064,4.430975756,12.23274552,8.903969245,0.69073868,2.797348526,9.73566432
อู่หลง Coffee,13.9636643,100.5898359,"https://www.google.com/maps/place/%E0%B8%AD%E0%B8%B9%E0%B9%88%E0%B8%AB%E0%B8%A5%E0%B8%87+Coffee/@13.9645952,100.590215,18z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e28119a781b789:0x3c7c411726350bf7!8m2!3d13.9636643!4d100.5898359!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgEEY2FmZeABAA!16s%2Fg%2F11fnr9rsph?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",5,2,,,oc_15,ci_15,option_15,review_15,rakhok,3.026025335,2.152118866,0.37889914,4.573757764,12.15240412,8.790378541,0.841739568,2.581569249,9.519859203
Mister Latte,13.9620017,100.5832604,"https://www.google.com/maps/place/Mister+Latte/@13.9645952,100.590215,18z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e281ba54870c37:0x2225707bb6a18163!8m2!3d13.9620017!4d100.5832604!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11px50zlv9?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",4.8,11,,,oc_16,ci_16,option_16,review_16,rakhok,3.40293452,2.681503659,1.085454979,4.613664596,12.43800666,9.189163496,0.559254349,3.30754864,10.2450305
กูโรตีชาชักคาเฟ่ เมืองเอก,13.963539,100.5893216,"https://www.google.com/maps/place/%E0%B8%81%E0%B8%B9%E0%B9%82%E0%B8%A3%E0%B8%95%E0%B8%B5%E0%B8%8A%E0%B8%B2%E0%B8%8A%E0%B8%B1%E0%B8%81%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88+%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%AD%E0%B8%81/@13.9645952,100.590215,18z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e29f7c1d0a91cf:0x9f25cfc60b15286f!8m2!3d13.963539!4d100.5893216!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgEEY2FmZeABAA!16s%2Fg%2F11rn4l7r9k?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",4,25,฿100-200 ต่อคน,9,,ci_17,option_17,review_17,rakhok,3.050318625,2.188818513,0.430637018,4.297459063,12.17286947,8.819517738,0.799000417,2.637995943,9.576324645
Happyhub Cafe,13.9629393,100.5867197,"https://www.google.com/maps/place/Happyhub+Cafe/@13.9645952,100.590215,18z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e281a9663b9613:0x16a1f3d250e401ba!8m2!3d13.9629393!4d100.5867197!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11ty26v3sr?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",4.5,2,,,oc_18,ci_18,option_18,review_18,rakhok,3.182504721,2.383656302,0.703690938,4.542507764,12.27620421,8.967466912,0.616876589,2.922477251,9.860630729
Starbucks,13.9645034,100.5863108,"https://www.google.com/maps/place/Starbucks/@13.9645952,100.590215,18z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x311d7d8bea61325d:0xe99aa9fe24ace360!8m2!3d13.9645034!4d100.5863108!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11c1dq88vq?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",4.5,121,฿100-200 ต่อคน,6,oc_19,ci_19,option_19,review_19,rakhok,3.029223452,2.262592599,0.683682989,4.509008268,12.11061207,8.816685659,0.467083377,2.901996574,9.834616688
Café Amazon สาขา มหาวิทยาลัยรังสิต,13.9644076,100.5867483,"https://www.google.com/maps/place/Caf%C3%A9+Amazon+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2+%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B8%B2%E0%B8%A5%E0%B8%B1%E0%B8%A2%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95/@13.9645952,100.590215,18z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e281f49fec51e7:0x3135e8cfb9179f5e!8m2!3d13.9644076!4d100.5867483!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgEEY2FmZeABAA!16s%2Fg%2F11bx42gv5g?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",4.2,66,฿1-200 ต่อคน,8,oc_20,ci_20,option_20,review_20,rakhok,3.025186231,2.244696495,0.640501924,4.307919255,12.11420122,8.811600146,0.511674653,2.860954744,9.794900231
CoffeeFlavor,13.9607037,100.5883339,"https://www.google.com/maps/place/CoffeeFlavor/@13.9645952,100.590215,18z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e281c60701cc75:0xfc5f943b7468f04d!8m2!3d13.9607037!4d100.5883339!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgEEY2FmZeABAA!16s%2Fg%2F11g4dxyf8c?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",5,1,,,oc_21,ci_21,option_21,review_21,rakhok,3.380777132,2.519012496,0.731359719,4.560008014,12.49894899,9.15212246,0.918578765,2.872219199,9.802375719
It's me cafe,13.9637788,100.5857536,"https://www.google.com/maps/place/It's+me+cafe/@13.9645952,100.590215,18z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e281fc127fe0ad:0xf13cf9bc4d23ddf5!8m2!3d13.9637788!4d100.5857536!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgEIYXJ0X2NhZmXgAQA!16s%2Fg%2F11pf5szrvg?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",5,5,,,oc_22,ci_22,option_22,review_22,rakhok,3.12457519,2.363081945,0.76336752,4.610292813,12.19934171,8.912444541,0.477752705,2.985647687,9.920735085
CHANOMKAIMUK,13.9660603,100.5852073,"https://www.google.com/maps/place/CHANOMKAIMUK/@13.9645952,100.590215,18z/data=!4m11!1m3!2m2!1z4Lir4Lil4Lix4LiB4Lir4LiBIOC4hOC4suC5gOC4nw!6e5!3m6!1s0x30e281002adb4021:0xe5f42420fddc9054!8m2!3d13.9660603!4d100.5852073!15sCh_guKvguKXguLHguIHguKvguIEg4LiE4Liy4LmA4LifWiIiIOC4q-C4peC4seC4gSDguKvguIEg4LiE4Liy4LmA4LifkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11ldjw_70v?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",,,,,,ci_23,option_23,review_26,rakhok,2.906029282,2.197868649,0.784881046,,11.95804763,8.693118369,0.276517402,2.965028502,9.882102934
